Ε01Α	      28.907  	26
Ε03Α	      50.379 	35
Ε04Α	      30.015  	20
Ε05Α	      34.279 	40
Ε06Μ	      39.863  	47
Ε06Χα	      20.597  	25
Ε06Χβ	      15.548  	16
Ε06Χγ	        8.261  	15
Ε07Α	      26.508  	34
Ε08Μ	      10.017  	24
Ε08Χ	        3.683  	10
Ε09Α	      15.346  	16
Ε09Β	        9.669  	8
Ε09Γ	      10.706  	15
Ε10Α	      94.009  	54
Ε11Μ	      10.704  	15
Ε11Χ	        5.302  	6
Ε12Α	        6.414  	3
Ε13Α	      37.063  	31 	 
Ν01Μ	        2.528  	7
Ν01Χ	        1.980  	5
Ν02Μα	        7.730  	18
Ν02Μβ	        4.721  	11
Ν02Χ	        3.836  	7
Ν03Μ	        5.914  	15
Ν03Χ	        3.990  	5
Ν04Μ	        4.267  	12
Ν04Χ	        2.470  	4
Ν05Α	           439  	1
Ν06Μ	        3.297  	13
Ν06Χ	           969  	2
Ν07Μ	        2.513  	9
Ν07Χ	        1.110  	2
Ν10Α	           163  	1
Ν11Α	        1.331  	5
Ν12Μ	        5.390  	13
Ν12Χ	        3.720  	7
Ν20Μ	        6.919  	25
Ν20Χ	        2.576  	10
Ν21Μ	        4.960  	16
Ν21Χ	        1.885  	5
Ν22Α	           243  	1
Ν23Α	        2.109  	13
Ν24Μ	        2.389  	13
Ν24Χ	        1.159  	6
Ν25Α	           482  	2
Ν26Μ	        2.062  	9
Ν26Χ	           872  	4
Ν27Μα	        2.529  	13
Ν27Μβ	        1.307  	8
Ν27Χ	           482  	3
Ν28Μ	        1.907  	9
Ν68Χ	           565  	2
Ν29Μ	        1.230  	6
Ν29Χ	           545  	3
Ν30Α	           420  	2
Ν30Μα	        3.408  	17
Ν30Μβ	        1.860  	9
Ν30Χ	        1.191  	6
Ν31Μ	        1.510  	7
Ν31Χ	           280  	2
Ν32Μ	        3.175  	14
Ν32Χ	        1.183  	5
Ν33Α	           739  	3
Ν34Χ	        1.012  	5
Ν34Χ	           374  	2
Ν35Α	           350  	1
Ν36Μ	        1.486  	6
Ν36Χ	           482  	2
Ν37Α	           335  	2
Ν38Μ	        2.327  	10
Ν38Χ	           879  	4
Ν39Μ	        1.323  	5
Ν39Χ	           537  	7
Ν40Α	           272  	1
Ν41Μ	        1.837  	10
Ν41Χ	           693  	3
Ν42Μα	        5.805  	23
Ν82Μβ	        2.475  	11
Ν82Χ	        1.416  	6 	 
Ο01Α	        1.395  	3
Ο02Α	        1.611  	3
Ο03Α	           837  	1
Ο04Α	        1.356  	3
Ο05Α	           896  	1
Ο10Α	           650  	1
Ο11Α	           639  	1
Ο12Α	           583  	1
Ο13Α	           336  	1
Ο14Α	           406  	2
Ο15Α	        1.026  	2
Ο15Β	           687  	1
Ο16Α	           592  	1
Ο17Α	        2.423  	10
Ο20Μ	        1.860  	8
Ο20Χ	        1.035  	4
Ο21Μ	           934  	5
Ο61Χ	           482  	2
Ο22Α	           327  	2
Ο23Α	           420  	2 	 
Ω01Α	      24.000  	1
Ω02Μα	        5.420  	11
Ω02Μβ	        2.570  	4
Ω02Χ	        1.609  	2
Ω03Α	        1.281  	2
Ω04Μ	        3.125  	4
Ω04Χ	        1.934  	2
Ω05Α	        1.859  	2
Ω06Α	        1.125  	1
Ω10Α	           787  	1
Ω11Α	           526  	1
Ω12Α	           946  	1
Ω13Α	           347  	1
Ω14Α	           740  	2
Ω15Α	        2.145  	2
Ω20Α	           557  	1
Ω30Μ	        2.288  	9
Ω30Χ	           545  	2
Ω31Α	           444  	2
Ω32Α	           358  	2
Ω33Α	           397  	2
Ω34Α	           288  	1
Ω35Α	           265  	1
Ω36Μ	           957  	4
Ω36Χ	           243  	1
Ω37Α	           254  	1
Ω37Β	           661  	3 	 
Α01Μ	        4.701  	15
Α01Χ	        2.712  	7
Α02Μα	        3.922  	16
Α02Μβ	        1.595  	5
Α02Χ	           683  	1
Α10Μ	        6.036  	12
Α10Χ	        4.627  	8
Α11Χ	        3.635  	12
Α12Α	        1.910  	1
Α12Μ	        3.984  	17
Α12Χ	        1.798  	7
Α20Μ	        3.696  	13
Α20Χ	        2.638  	10
Α21Μ	        2.187  	11
Α21Χ	        1.035  	6
Α22Μα	        1.938  	10
Α22Μβ	        1.144  	6
Α22Χ	           630  	3
Α23Α	           319  	1
Α24Μ	        1.821  	8
Α24Χ	           949  	4
Α25Μ	        1.766  	9
Α25Χ	           949  	5
Α26Μα	        2.467  	12
Α26Μβ	        1.175  	5
Α26Χ	           607  	3
Α27Μ	           864  	4
Α27Χ	           350  	2
Α28Μ	        1.377  	6
Α28Χ	           623  	3
